time_lsl,ch1,ch2,ch3,ch4
567064.8619044044,403323.0,438011.0,454166.0,174488.0
567064.8802302964,403482.0,438235.0,454440.0,174517.0
567064.8985561884,403618.0,438369.0,454517.0,174489.0
567064.9168820805,403809.0,438589.0,454735.0,174476.0
567064.9352079725,403900.0,438678.0,454864.0,174490.0
567064.9535338647,403801.0,438538.0,454728.0,174501.0
567064.9718597567,403499.0,438204.0,454342.0,174570.0
567064.9901856488,403006.0,437518.0,453736.0,174496.0
567065.0085115408,402421.0,436886.0,453012.0,174486.0
567065.0268374329,401918.0,436195.0,452339.0,174474.0
567065.045163325,401452.0,435554.0,451775.0,174474.0
567065.0634892171,400979.0,434890.0,451098.0,174506.0
567065.0818151091,400513.0,434361.0,450578.0,174470.0
567065.1001410012,400171.0,433862.0,450075.0,174492.0
567065.1184668932,399764.0,433425.0,449586.0,174557.0
567065.1367927853,399474.0,433015.0,449221.0,174486.0
567065.1551186774,399217.0,432724.0,448994.0,174502.0
567065.1734445695,399114.0,432588.0,448875.0,174513.0
567065.1917704615,399187.0,432549.0,448849.0,174547.0
567065.2100963535,399144.0,432546.0,448870.0,174488.0
567065.2284222456,399225.0,432494.0,448878.0,174489.0
567065.2467481376,399292.0,432548.0,448915.0,174554.0
567065.2650740298,399319.0,432626.0,448975.0,174503.0
567065.2833999218,399357.0,432627.0,448993.0,174450.0
567065.3017258139,399419.0,432713.0,449030.0,174490.0
567065.3200517059,399561.0,432884.0,449184.0,174473.0
567065.338377598,399661.0,433006.0,449309.0,174478.0
567065.35670349,399772.0,433119.0,449468.0,174525.0
567065.3750293822,399882.0,433353.0,449605.0,174519.0
567065.3933552742,399983.0,433525.0,449773.0,174459.0
567065.4116811663,400205.0,433691.0,449956.0,174536.0
567065.4300070583,400304.0,433887.0,450134.0,174465.0
567065.4483329504,400486.0,434118.0,450386.0,174546.0
567065.4666588424,400610.0,434319.0,450512.0,174417.0
567065.4849847346,400759.0,434536.0,450683.0,174490.0
567065.5033106266,400961.0,434820.0,450924.0,174458.0
567065.5216365186,401144.0,435000.0,451160.0,174452.0
567065.5399624107,401359.0,435274.0,451375.0,174437.0
567065.5582883027,401568.0,435511.0,451589.0,174470.0
567065.5766141948,401765.0,435744.0,451832.0,174442.0
567065.594940087,401934.0,436021.0,452057.0,174441.0
567065.613265979,402071.0,436296.0,452265.0,174437.0
567065.631591871,402285.0,436473.0,452480.0,174477.0
567065.6499177631,402459.0,436756.0,452751.0,174505.0
567065.6682436551,402563.0,436978.0,452970.0,174451.0
567065.6865695472,402756.0,437205.0,453148.0,174440.0
567065.7048954393,402953.0,437502.0,453433.0,174490.0
567065.7232213314,403179.0,437750.0,453642.0,174455.0
567065.7415472234,403378.0,438019.0,453867.0,174400.0
567065.7598731155,403597.0,438255.0,454131.0,174447.0
567065.7781990075,403671.0,438366.0,454230.0,174471.0
567065.7965248997,403549.0,438218.0,454038.0,174485.0
567065.8148507917,403252.0,437899.0,453657.0,174525.0
567065.8331766838,402778.0,437324.0,453036.0,174476.0
567065.8515025758,402324.0,436657.0,452461.0,174518.0
567065.8698284678,401759.0,435987.0,451691.0,174482.0
567065.8881543599,401307.0,435321.0,451103.0,174452.0
567065.906480252,400820.0,434665.0,450419.0,174484.0
